accel,temperature,humidity,sound,machine
0.999,33.700,53.000,40.000,0
1.000,33.700,53.000,43.000,0
0.999,33.700,53.000,31.000,0
1.000,33.700,53.000,43.000,0
0.999,33.600,53.000,44.000,0
1.001,33.600,53.000,33.000,0
1.000,33.600,53.000,43.000,0
1.000,33.600,53.000,43.000,0
0.998,33.500,53.000,33.000,0
0.999,33.500,53.000,43.000,0
0.999,33.500,53.000,39.000,0
0.999,33.500,53.000,39.000,0
1.000,33.500,53.000,45.000,0
0.999,33.500,53.000,45.000,0
0.998,33.500,53.000,43.000,0
1.000,33.400,53.000,31.000,0
1.000,33.400,54.000,43.000,0
0.998,33.400,54.000,39.000,0
0.999,33.400,54.000,43.000,0
1.001,33.400,54.000,45.000,0
1.000,33.300,54.000,43.000,0
1.001,33.300,54.000,43.000,0
0.999,33.300,54.000,32.000,0
1.000,33.200,54.000,46.000,0
0.998,33.200,54.000,44.000,0
0.999,33.200,54.000,46.000,0
1.000,33.200,54.000,39.000,0
0.999,33.100,54.000,44.000,0
0.999,33.100,54.000,44.000,0
0.999,33.100,54.000,39.000,0
1.001,33.100,54.000,32.000,0
1.001,33.100,54.000,38.000,0
0.999,33.100,54.000,39.000,0
1.000,33.100,54.000,31.000,0
1.000,33.100,54.000,34.000,0
0.999,33.100,54.000,34.000,0
0.998,33.000,54.000,43.000,0
1.000,33.000,54.000,41.000,0
1.001,33.000,54.000,44.000,0
0.998,33.000,54.000,33.000,0
0.998,33.000,54.000,43.000,0
1.000,33.000,54.000,39.000,0
1.000,33.000,54.000,41.000,0
0.999,33.000,54.000,40.000,0
0.998,33.000,54.000,39.000,0
1.000,33.000,54.000,43.000,0
0.999,33.000,54.000,44.000,0
0.999,32.900,54.000,43.000,0
0.998,32.900,54.000,43.000,0
1.001,32.900,54.000,39.000,0
1.001,32.900,54.000,45.000,0
0.998,32.900,54.000,46.000,0
0.998,32.900,54.000,43.000,0
0.999,32.900,54.000,39.000,0
1.000,32.900,54.000,32.000,0
1.000,32.900,54.000,44.000,0
0.998,32.800,54.000,31.000,0
